mass ratio,period(days),semi-major axis(AU),cos_i,eccentricity,arg periastron,phase,Projected Separation(AU),Model Contrast
0.7504974027249302,146207262.4754802,5523.572980047198,0.6359448228862049,0.04349467759007869,1.0319953834240156,4.427901104254724,3589.174446880387,0.9409049912807825
0.6315310804812708,67078921.17193286,3209.5400976015717,0.39600665385582046,0.752600981386249,3.0531658185613617,0.6110354033586783,1768.320845617736,1.3816432429335919
0.8177585328265999,252.60572313188243,0.8053682363169918,0.20699853355241382,0.5552,0.5540880900108638,0.2859168381037996,0.4537735405197411,0.6865608643175953
0.1929123860515357,20885005147.89014,132824.91588526065,0.3111027263620916,0.3073451448692375,2.7513401779555333,2.645919741973261,56050.25588632259,3.8647294190319803
0.3425585915767464,1230.1616641790802,2.0915721533899356,0.5323050875525651,0.3874768012542676,2.5833320938300086,1.829743111209918,2.4586262598996793,2.602198965753457
0.14809157140653395,11275.381257861727,8.694941061981487,0.8970482626989758,0.46000587713406926,0.1048005256572287,2.487360128996488,11.384476517287762,4.735163938776542
0.5916930981667415,47671363.71218826,2535.0029595600445,0.9245638017216039,0.01833498968783422,2.262548176690206,0.26725825055245706,2403.1055882939095,1.5339122197630708
0.6516765149294783,18.739634633193575,0.13772180938682163,0.9879688502430511,0.2615,2.7257845124387483,4.571277744436362,0.1719852043445601,1.3062349457655138
0.18422762246739832,13656.847463876496,9.982339678569975,0.505932831556715,0.025519893454861473,2.247330536388219,1.529846588741238,5.640647937796611,3.984656261615826
0.6816929962645998,1911687766.8662727,30249.19732932625,0.8011354970210769,0.1527675995845914,0.9855323919559391,6.259422073961221,24381.707471905163,1.1940320859695692
0.15002800828263507,20033.48023167914,12.762253969681277,0.6962601759707361,0.8181070683899045,2.4203026057456554,0.1162929819089101,17.32459782860622,4.69
0.03890776371427196,14887086.789702699,1012.1676513450267,0.5474959330811796,0.20436357824107637,1.7667152647835453,0.4091338356073461,567.669783391011,inf
0.5060508542534584,34764273.8079923,2016.302224662464,0.6529805751434405,0.7505714648357438,2.4738188469734514,3.260994905817762,2731.6292588177203,1.863773991555247
0.4617223521949987,61001728.349485084,2904.268058849289,0.7016220319701957,0.591661409171717,0.9503927101929921,1.49209556202336,3301.7728946695825,2.0429755015518873
0.8843101020478816,138.61218825145744,0.5463094518794265,0.09781359290808633,0.0864,0.9252268255297477,2.369118391969583,0.4831983032841145,0.4329345413862846
0.29000911461291634,475.9049387668057,1.0958002031512883,0.733872911909734,0.591,2.220453565372481,3.7535824702167737,0.37119430804300413,2.941124639990764
0.4574189742677911,1322.8806974124636,2.25629337726963,0.7715262663126067,0.4916489072015167,2.638964301488061,2.488001249646647,2.476441959682911,2.0634265593342684
0.35558547235063453,114.06460705071612,0.42986282014384614,0.24574258022443463,0.1576,1.502115402834909,5.510488080907609,0.3279545545594997,2.5374108906801114
0.8285324594627183,2740.4124502301584,3.954562907527122,0.827999414431031,0.39258015282908354,0.16917886941612487,4.133492558085761,2.616469405835276,0.6488944904753264
0.18921401995436127,8063812182.03539,70355.91009349948,0.142191494728791,0.788099005666239,1.0334887935410653,3.5711358431218714,101589.0918150218,3.9113830884112817
0.8590080229694057,31.393297408799704,0.2020716340750661,0.3052033098929321,0.1749,2.7789755120459607,4.533391316184349,0.17222537571530766,0.5349556062845959
0.7098852751855497,39853042.70966028,2304.0060917554824,0.3072103872135915,0.18746061829978292,2.6760433113763034,5.037351892858015,2406.5525753031948,1.088857878755391
0.967098800632175,138.78894720855448,0.5546669485667268,0.7996324618563058,0.4436,0.5150318138064542,3.794602063653834,0.5887795139633556,0.12272729852115294
0.04785689727813114,84.794242996493,0.32374162789599986,0.88664788403981,0.4542,2.112158740346941,2.636531282552605,0.3224894438264485,inf
0.8747068678166122,3271637.678012331,448.75389734165867,0.5375446251107754,0.7506202345905876,1.5057312483474963,3.1693666710687185,592.556489496907,0.4712325566910227
0.0891288159713014,788571740.036201,14502.43290445638,0.7589266893390124,0.45497489378204387,1.9714191114872341,2.7770677606533103,19567.763327064433,inf
0.09215634955862273,8221.109606130982,6.927377793217733,0.15995372487473702,0.24340169162272884,1.4873304087238697,5.034392144964094,3.2273933022184056,inf
0.10234070843040655,10166.081135178421,8.005613861322058,0.6413973310137598,0.7363058240686954,2.433509839807209,4.254982668085444,3.7469747671928975,6.36006808381994
0.40909969124657886,33.52446924687689,0.19249028831836684,0.6424893457776256,0.2248,1.2832295567317564,0.6362348208461974,0.12837121933540413,2.272036035337205
0.1394938688145041,166.99524860348114,0.5230706875101796,0.41148128195807987,0.151,1.3810028374753207,3.5879668606231605,0.3195661406388646,4.977412572297758
0.288701233999338,928586973.8363379,17104.857037095986,0.29342484420669246,0.5126729443727547,1.4715823676315953,3.346448330841136,25466.518385223542,2.953179792430661
0.7641435903620242,188938562.7831337,6570.201531966898,0.7149187560478814,0.023383633538293667,1.71347341743568,1.6952995790604313,4710.785347536924,0.8915513376712765
0.7768877730694571,1856.7893593447543,3.021681840365308,0.7315075713883697,0.6473705373856163,0.12220348448341439,2.7225211162434566,1.2025791931563534,0.8421088635163079
0.17967388392845995,1055192769.4274467,18085.42984082876,0.7541705867139818,0.8239247761764411,0.23366816940498675,5.6733926588040005,13022.741019833195,4.062197493779082
0.04942248407456795,156259.62140587956,48.68572136723204,0.36406702760502263,0.0678786599887907,2.8659146183368045,2.0159358183911187,39.139009525213126,inf
0.21454216708577334,49288821.810864724,2368.591317557228,0.3129355661309222,0.8022962100665897,2.119230167774277,5.397498153041229,3049.093864078687,3.5982448181534687
