mass ratio,period(days),semi-major axis(AU),cos_i,eccentricity,arg periastron,phase,Projected Semparation(AU),Model Contrast,AO Rejected 1,Full Rejected
0.8268342689602997,11945.841306772301,10.394846180386331,0.9776992355975604,0.9381731582851295,1.2907198965049647,2.3297515738367744,18.74999156292038,0.626174997496511,0.0,0.0
0.18825366292971757,7.14399485088129,0.06392994522145466,0.7092577471913284,0.0163,0.9571133054358775,4.639457819944785,0.044977653493371995,3.9020454782854834,0.0,0.0
0.007313497174022077,2461187063.6857743,29734.3527982127,0.3038401172938898,0.5370234495750523,2.5454784547371663,0.17818490449591348,14076.262560959161,inf,0.0,0.0
0.18059839057551597,718.2909102988943,1.3793511221495298,0.5330368053370297,0.2045,3.002196666372335,2.1379919149547377,1.3066868589929124,4.014150503718497,0.0,0.0
0.991549304980863,4825852.854991392,584.6378490827362,0.8672322955623827,0.6564722385552232,1.2233642043337645,3.1070631698264917,212.81026857577208,0.03135865040940011,1.0,1.0
0.13314637581968491,338359.6461376187,82.37363592640895,0.6224037784454014,0.3777236694815581,0.5301499041268484,5.956086637992855,64.00098793653247,5.274655310476582,1.0,1.0
0.028809780165370724,49292567.71269578,2208.3768150937267,0.10445770015585043,0.7010116662980042,0.04811873877410265,5.620250762803522,1491.9778126989008,inf,0.0,0.0
0.5099506529538658,178.16545257202822,0.5910766067850097,0.3475468876383616,0.1709,1.5859927468179695,1.3584793027869855,0.6891920819595859,1.7758992761429022,0.0,0.0
0.03839491520486604,155784264.4833946,4770.644990313789,0.21800260059710408,0.6654450780180804,1.9578318993365407,2.9983260743616342,7155.366719114228,inf,0.0,0.0
0.4685831577024925,1571.888713138636,2.5004676177137095,0.059179649478338425,0.834637575481145,1.2101748951733737,1.3143866116554868,1.5951663243644365,1.9377362192397873,0.0,0.0
0.2681892796227582,4.244408054460911,0.04617213630232485,0.41614232166756815,0.15839999999999999,1.203919158317998,2.203658022942973,0.0497911665426345,3.0426408944263823,0.0,0.0
0.14635272062231386,13877800.236265099,983.4683009257094,0.9192133323232402,0.4248664902558566,0.45004580652707243,2.8616499862195464,1182.7143797417964,4.817260556804159,0.0,0.0
0.41374800932632916,39858.07164130367,21.309604083198625,0.8782030941478801,0.9797237653539345,1.6376658998523546,2.915868048629832,31.044246404096384,2.174071789332456,1.0,1.0
0.7355462790375061,5121013.607774037,580.9737934194299,0.5974669784752776,0.27165627965613315,0.726568466007785,3.0237401071345653,336.0648683612112,0.9534046786953008,1.0,1.0
0.7902660676690583,863.4383088612701,1.7915705939953879,0.7570474289430043,0.7884,1.6873884667322656,4.87272220698545,2.7207597113643263,0.7560845962386216,0.0,0.0
0.5269143811661077,18950.54707846248,13.31864121076713,0.2126407192630816,0.04372346087592291,1.4400732175606357,1.9108158945862879,8.951006346959892,1.7167286238340393,0.0,0.0
0.3848261985844006,3999.5000130862295,4.56992860475191,0.6384354023788005,0.8284946020944736,2.9946742671111517,4.456982655329341,4.685204120345212,2.30645862632357,0.0,0.0
0.07168937687917787,13886.212547657302,9.620242895079747,0.20730627982347805,0.6031790843599173,1.730671371778354,0.15518271946162676,2.0698042819071794,inf,0.0,0.0
0.5920826234102671,46198.63861495739,24.463307585398198,0.8167854408888386,0.20667358978925718,1.1844294097934307,2.6863900117141175,22.506789344761554,1.4698991809063449,0.0,0.0
0.2901153753233927,8649296.31286685,746.3981551639639,0.3727817203824745,0.5107894147074249,2.470300242311337,3.131291008401872,336.32602546347465,2.867673659407515,1.0,1.0
0.7091458060842506,2454304134.253687,35398.57778756311,0.14527806681402022,0.17022064903543135,0.2774056511690693,6.159463083172873,13701.622646737667,1.046296508045196,0.0,0.0
0.26156497210500773,24.31825571938201,0.14758153093760373,0.8975876960172623,0.11810000000000001,2.816525317962996,2.1068065180435944,0.13901871329577287,3.0998479845064004,0.0,0.0
0.7704497908186057,2496001476.8751087,36221.37674199228,0.1467740192526238,0.8670789415408731,1.4104607512656222,2.2271992689324756,63724.31285388479,0.8300602938431147,0.0,0.0
0.37758744300128,4122.480182824898,4.654995863414811,0.9649386993198292,0.1588467826550749,0.43145234904244245,5.0924520434283,4.806049797069427,2.3414435366952233,0.0,0.0
0.3983149744883383,21088.110455819486,13.888882520979696,0.4763915209878118,0.11387727294550809,0.5317194719691043,3.867874438778873,6.197364869076524,2.238829794598998,0.0,0.0
0.21057139912063338,574146897.8707687,11979.885704325885,0.7668005862811332,0.5351421899859489,0.1963707694393107,2.6577512905483385,14486.223669947125,3.595023800797824,0.0,0.0
0.8413565089921794,31986.378124998948,20.096936558935447,0.780347434199697,0.9443693038074555,1.8224354001272538,3.91389240906953,29.568401060415535,0.5764027162328098,1.0,1.0
0.14953606166813238,3168866.7178114955,367.7483266560261,0.23820061261758152,0.40323450938250616,0.16994553935319678,3.848863228142881,314.1553161521269,4.71713706258004,1.0,1.0
0.750842529956508,11718.784726009146,10.118386626626885,0.5241259301871519,0.6447305816017267,3.1237904218766515,4.845133292169139,6.592884467206295,0.8978602401779865,0.0,0.0
0.09284323248194948,3396.6228430464016,3.7872562959203697,0.9402418475513693,0.5929550159575756,0.00921929663765859,3.642900493347487,2.9085567910520456,inf,0.0,0.0
0.0537452810282254,4886.177021341388,4.767951935315538,0.28221946122461095,0.22882466001306132,1.9775319950533017,3.3634688698870217,5.687003904520365,inf,0.0,0.0
0.37341517405746516,199836.54141642258,61.82409106424545,0.7805093263431901,0.552558617122097,2.4938564252243043,2.746814191211734,47.19765303412035,2.368225133108372,1.0,1.0
