mass ratio,period(days),semi-major axis(AU),cos_i,eccentricity,arg periastron,phase,Projected Separation(AU),Model Contrast
0.024271057126009188,10254921593.174345,74479.49481304109,0.13093881391494644,0.6556249441358866,3.064040871560735,0.406481142864672,44650.097488920284,inf
0.27648135241717653,5916125.133830953,555.4435375256998,0.26997509594507907,0.38615852150404645,2.8111412461320064,1.3042208610954746,572.7512624835076,2.8348084268811933
0.6550253759955597,177191772.37983787,5841.272222374264,0.8188242306099062,0.8905635605251913,1.6226254840821739,1.6768491019413625,9080.508791667095,1.1018821386690067
0.7418456454194358,202.50558181754536,0.6494884222876547,0.6089996125818404,0.5934,2.7979400363187246,5.586732332456592,0.2082603933465216,0.8212637457433747
0.6973365225050858,103.61700641115846,0.4119269489362111,0.6006974444053323,0.0199,0.20827326055534695,1.6124703445600148,0.36618029900718413,0.9671498566653263
0.3127195665174054,143.1611953396225,0.46904846879422213,0.13604948934725236,0.5717,2.2925324932324815,2.486314254643662,0.09569595032535252,2.5595020261965216
0.32916100502759693,29.137358130904687,0.162968188285098,0.18193678602647378,0.0014000000000000002,0.5424037183362093,4.69700405534157,0.09291971435909611,2.4547263000146566
0.150766538317465,71090.9414720073,28.150240608662347,0.3265787687328724,0.27926039337908976,0.5228583602343473,4.9942653926153335,29.080170846398346,4.806371299432985
0.37478922916151836,4983046.722257217,507.79163097218697,0.1248666560311803,0.40642687951978423,2.21286642218601,1.693649940237881,528.8898748847971,2.1802714898401163
0.9132807586156966,13.51963359648151,0.11028413507905646,0.29974397400210273,0.0695,0.2769117315793582,2.0531658013171006,0.0903795262219465,0.27554069591037145
0.0331241601956862,83332968.940811,3019.063643636639,0.868074915163331,0.4348213058115552,0.4550049747616507,1.861998608437896,3569.4141696311826,inf
0.435738384767848,587.6176459203497,1.2388874367719673,0.6999615370855765,0.5267000000000001,1.89814890876716,2.20318745837577,1.696268920252593,1.8890383581625363
0.08723891146854379,189584.84580995617,53.11953539847898,0.3343370306729555,0.47737095845827465,1.1379788336134116,5.350671578801954,20.28306298343076,inf
0.39905496551117914,196.48228078893956,0.5917033735268895,0.8939260354953322,0.27090000000000003,0.6630509430936461,4.583451339008944,0.5432999906907872,2.060846778631414
0.5675099428246632,23612264.31643007,1496.5987720443288,0.5162014584356958,0.03833674722009488,1.9321650616840478,3.4774259082514933,1322.4601943120463,1.3955055628925113
0.6444465400379698,8849.39385041067,7.904828674444996,0.30714337472334385,0.8995138222287103,0.5204443479348054,2.3891399168040475,6.217408488372767,1.1406422612215836
0.7289139589343304,58.50452045795987,0.28313546300665515,0.2137311270830543,0.582,0.10335560166282641,1.823081727903671,0.20805024924373874,0.865476440506538
0.23018656611358101,4181.4391628244975,4.353291084793056,0.5958444220413385,0.6157261544848995,0.00883619087491056,4.183947097498107,1.503645291337463,3.2593559708373894
0.5972719925893358,6945.410713429233,6.660933630104915,0.00041718241410149126,0.2613507023011585,1.6180354471938192,1.7984828018647392,8.282531644198317,1.296845944109867
0.023450143130730017,994975.8651781044,157.21987753346306,0.9764655415499698,0.7803609183797474,1.4234968062169489,1.8836687825059408,186.18827110288223,inf
0.8001612473441623,1880.8761492284812,2.9014881067113927,0.8972425808637455,0.2789035540609449,0.7208789219673403,0.6783871975799659,3.299405933789083,0.633652588779352
0.5067356343323673,15.377485158826584,0.11097183222045075,0.035419030742436686,0.0597,0.5887758138798073,0.2545456353337215,0.07288538445451921,1.6081084509758545
0.8602302045276504,7884440.8412501495,762.6284843760516,0.6441109386118974,0.03617129280137143,2.7609067874056508,6.007156961687667,754.6594899244468,0.4421573804402197
0.17457904844059602,6462990.028637711,573.0509888373538,0.45967123540115884,0.9170857278941306,2.1684876003919085,6.000516469703151,960.6283459765586,4.174784441586325
0.3168688026793216,1592.8824176397059,2.3401669477179716,0.26298177975337045,0.5290071191004591,0.42978085491233586,3.30834458770388,1.2040846893331334,2.532672397784819
0.23172926304486263,13750.503561526844,9.630770063658725,0.4308923162008902,0.34111012372437016,2.774016057584066,5.464174225990041,8.04902790321322,3.2593559708373894
0.37417786771361206,16956531.133663677,1148.63624616293,0.7786504911558358,0.029991535081518462,0.8018988093135183,3.829707703999359,1114.861255162596,2.190674876604257
0.9554519736504653,16.822864995946308,0.12851659687483272,0.4719359425401244,0.214,2.488589453861213,2.748452281204699,0.11039940000460911,0.1449577313333048
0.09004462192358231,468345.2057300108,97.15586076942142,0.12993900399022484,0.17277562811990074,1.3256672620981529,3.1535745717393353,58.783609653699045,inf
0.1352362963012651,33220794.80319545,1687.5071731099224,0.01734390338686509,0.6736131213292669,2.7729577205059694,2.976864368446688,545.054688432185,5.340002707487947
0.09283067737517214,168791.5695905839,49.24494455391692,0.8468927277062858,0.5541817465679104,2.3199833279480715,1.4350804487548459,68.77000329806202,inf
0.42499983625845195,9179302.524323106,772.2446697718304,0.9469785390658625,0.4475651459817855,2.357152440815108,5.696266497498807,1046.380186572841,1.9412160549986046
0.22057859484990772,8241863.044759727,682.5728942473222,0.6396926313849384,0.43280897644487953,2.792568617564817,5.304307659806428,709.9668867136892,3.374978634184539
0.3440272342613875,646.3555712072839,1.29139929927638,0.317577959106943,0.2938,0.002315263914520852,4.591874978508229,1.2260368964771473,2.356951967633342
0.903585675166453,168536.894556062,59.192178866459074,0.1951107703547582,0.689949149806827,0.7026261063561643,3.465976484154943,23.209103660544,0.3064643612837523
0.6772089329077889,7325833471.737263,70152.62767130458,0.6933775407882875,0.9086470671499466,2.2041896885919368,0.12241088169743884,15476.835346625034,1.0311272378172136
