mass ratio,period(days),semi-major axis(AU),cos_i,eccentricity,arg periastron,phase,Projected Semparation(AU),Model Contrast,AO Rejected 1,Full Rejected
0.13581711471978697,114042458.33611047,3987.9443116823627,0.6682956966901102,0.2615917845703626,0.4504598076549134,1.1118812955309678,3357.334254446107,5.131612630144654,0.0,0.0
0.5730343786226906,228304.08282751974,70.60851734131538,0.7969038844037623,0.43839181206750727,2.894293249895102,4.552123338378506,35.42231321725637,1.534815181059173,1.0,1.0
0.5987034932971885,318652.1233763341,88.66163880728712,0.881874221559159,0.058355395317528834,1.9238201881902532,3.2272444143872794,77.18992396107967,1.4445119460559823,1.0,1.0
0.04905766311968529,766.3711378764307,1.383017840722928,0.5730661602851741,0.2902,1.6758370939357754,4.159931753477935,0.7417954287038343,inf,0.0,0.0
0.46097410489371327,1361.2147256883652,2.2651684317955905,0.4484302949166519,0.8097501701382661,0.8409508594650428,0.04861696921135494,2.3489674524323325,1.960206261398656,0.0,0.0
0.4046505382567134,59671954.32474722,2779.5308998169403,0.6384056858470509,0.22534103679650747,0.7542577414472688,1.3523391400690203,2195.2135254289938,2.2098569364724927,0.0,0.0
0.27268706032242584,57313.159090860245,26.182554108466828,0.44988641699393206,0.33295659137662237,2.555080021918703,2.8561856005551367,27.71304383718839,3.0020826485817933,1.0,1.0
0.6610945147984567,210166.97204478105,68.0418836772684,0.38358499301731774,0.012966110445742954,0.995723782474356,4.378107317551269,57.229826934370855,1.2152712719797867,1.0,1.0
0.36814935683367855,82421712.10054143,3417.2296028625196,0.30554183475070695,0.550627242282914,2.932251868273553,1.1865723675707704,2519.2239434010585,2.382963738147594,0.0,0.0
0.25599244694596435,7562.586451572261,6.756334548560742,0.12234654533994638,0.7466119362965264,2.3955841697904585,5.102813725601505,6.634597524065051,3.1461019760415967,0.0,0.0
0.0749316754401762,184872265.78334025,5403.104470030505,0.6163890756675249,0.605160247659019,0.4850550215889938,1.4838376114587173,6253.410465889463,inf,0.0,0.0
0.7714641788670843,14912.783990442267,11.914756697505576,0.5586578684408225,0.4280052212686157,2.7885347321101435,5.153564070671931,6.327739124002294,0.8236966079303611,0.0,0.0
0.5347915995440937,81.12403394046046,0.3513322889582725,0.03109824568401598,0.3336,2.5575432287513187,2.821953869673881,0.4017425344860714,1.6780021026756913,0.0,0.0
0.6388592820425805,11649.231896856072,9.847227786293288,0.9074947564762222,0.15693022717171304,0.04535349064553061,5.57845765135769,7.908219391582175,1.297555026082084,0.0,0.0
0.26980380127414194,29784.065135029166,16.911031229627234,0.5926989101928667,0.9637566932869597,1.2561919854518457,5.096590618771715,29.426717479791257,3.0301149357735033,1.0,1.0
0.7117007049265264,107562143547.26726,439728.02387916413,0.8083492187850801,0.455940626894566,2.4726607787510475,3.2685442668215994,573688.3354442581,1.033770549392317,0.0,0.0
0.42372427892620557,31148763.85333505,1810.107675098739,0.7850317107482107,0.8076667723880655,1.8492280180097644,0.6918466192866343,576.8000623723937,2.1223963557069556,0.0,0.0
0.8865244565810385,5819.090459843704,6.497198282902425,0.8060256946854123,0.16746300962283328,2.041860459535306,2.5110883864000835,5.546025803392452,0.4130737410594074,0.0,0.0
0.7891711558604101,2054.0737424961894,3.188329655211873,0.4433816640118411,0.1412676971833603,2.518789386374715,1.980568329192701,1.4726607628822364,0.7620612156829516,0.0,0.0
0.9019921384421293,32621.98714437619,20.559462162701426,0.8600942611666982,0.7649212350056949,2.3784895049890484,5.928263988979924,33.23668661317808,0.355914705997014,1.0,1.0
0.7306573599107198,3060.6179918785942,4.1135017314956395,0.25188234661637365,0.7580867610663751,2.4407870590698955,2.120602159091037,4.342703804032042,0.965603125955437,0.0,0.0
0.5233937944051941,23870416.61812116,1550.407861964133,0.4528469573320192,0.7747121538316758,0.6302649308289957,4.52905564151358,1615.9886232370973,1.7238865655017444,0.0,0.0
0.021675815747948746,156264059.6398113,4749.1112318699625,0.8668094670435929,0.3772148319213107,1.6446294433791315,5.719896690397287,3258.1156873182545,inf,0.0,0.0
0.9313147931907607,8460591.17805867,840.4013300415844,0.8674879494973768,0.575321487179421,0.5304462048583797,5.633234035054858,1127.0721572660402,0.2474870355826848,0.0,0.0
0.017525675831633336,238563.18318841205,62.88098096772176,0.027205261618953425,0.7070087979403129,2.6839425139263176,5.239868246673943,52.14403212911917,inf,0.0,0.0
0.1260214287517608,164667524.3133211,5079.910856127097,0.8258562055407429,0.10877797040164466,1.5141381481205398,3.1228585960899546,5628.595382447134,5.577322025853522,0.0,0.0
0.9996316797332597,125469.23832396035,51.31882992528107,0.2973335844564209,0.1244018049228037,2.0150529751316846,4.65688669027585,36.50171561949823,0.0,1.0,1.0
0.2610704475033032,16125.114627288029,11.207710174009168,0.9648109634643754,0.5209645508175815,0.6618703229595931,4.337534396600795,14.836226428682297,3.101857226087664,0.0,0.0
0.7317584106632018,327.4945337315602,0.9273287137925137,0.8643945621795678,0.45130000000000003,1.8772112846775593,2.2531111586386774,1.0506460813321732,0.9594193349449798,0.0,0.0
0.2909102581758706,1729.6032387812454,2.549949497359991,0.8714730063232501,0.082052921549786,0.03153292487133974,1.7893075011072594,2.404602586852695,2.8679774658685693,0.0,0.0
0.2750793874025562,394.31306050422546,0.9477091747781828,0.9776646521065857,0.3008,2.6428139271901157,0.4725097046832704,0.6513128669759175,2.988213078390726,0.0,0.0
0.3820346399236524,554630.315507797,122.21108902179192,0.044329047422838275,0.5962966531434937,0.5880964492587252,3.1021645379818477,56.02380367609116,2.3113236677062527,1.0,1.0
