mass ratio,period(days),semi-major axis(AU),cos_i,eccentricity,arg periastron,phase,Projected Separation(AU),Model Contrast
0.990328849320222,35.617117431060855,0.21090445332991595,0.8051591077030846,0.3378,2.031792057901347,1.945105376210141,0.240697723503133,0.031356108610943956
0.7794831920752231,3.440107424617821,0.04277114977482101,0.6039101869442202,0.2442,2.120473956448839,4.662224352684765,0.02186721321420445,0.676128220164669
0.6089317775348512,156.39135744414088,0.5268164586810618,0.7556584054905221,0.3703,0.2815813259220704,3.821042847411702,0.5488966887354886,1.2219711725612212
0.4416258055352401,1444.7642335072271,2.236078928348236,0.6586484534831427,0.0769962173965317,2.9762810074378363,4.5207928443600345,2.0166642125154097,1.8225340826039202
0.34743554260758147,5765477.777943172,550.0445003278436,0.4688941653652533,0.32436909745678266,0.6555833697579148,5.66129831783567,551.6087233730374,2.303875372284219
0.9386312556262453,1704.3311691116687,2.75553555920548,0.14435002470794944,0.5698856557301671,1.9918588308346306,1.468598536042466,3.280950139412184,0.18682792303419493
0.78662792929358,3182.121465275878,4.065938765277217,0.08037087630647322,0.6993537634519315,1.7675625085837001,5.246218181331704,6.751094375689898,0.6573015307722123
0.938353675285515,4425.475262069966,5.20542161338791,0.08464771841000951,0.5123610128716309,1.7694851846763089,4.985384169925379,7.7535718495716,0.19301257313037112
0.18498942324692158,105.48244418682393,0.3659006994460739,0.6716938981180887,0.2016,0.8183416888767776,1.3783348073218982,0.3391453212904546,3.941588819916902
0.6827503355210511,20993808.182274215,1401.9709145656448,0.40002577384779503,0.1779370882325184,0.8007170975767902,5.907629229536385,1082.5946425320737,0.9814580088961335
0.2548223420999429,45132590.543295115,2117.674535172554,0.8816788591362412,0.7747354335281693,2.314750029374775,2.36884949273374,3151.4452762265023,2.9932371999838434
0.8076643123484677,3103215.373727495,401.4075148826987,0.6497552017358493,0.6727091717102276,0.668801469402625,6.111703824678173,454.26369447090985,0.5885324407511892
0.17146509935312582,32846.758560607785,16.745948669460386,0.718767279610502,0.21695283949634145,0.262510535101466,0.8749027292586936,17.64764417258206,4.265356216986291
0.48007654845312886,3274.518050024163,3.892225051810323,0.87498513642525,0.7123280821107543,2.6555201701134514,4.1571759900913845,4.289492274718674,1.6648483790793591
0.8984016498334009,36091.74240219885,20.944639623424212,0.3360653159965873,0.4876843828581368,0.4522846462097613,5.712421103811875,13.09886957801338,0.31025723896337176
0.007636577075325945,2349647.9549892833,274.4362427500822,0.7566090529694719,0.5001399114245617,0.8292662381451786,5.097087693667276,245.70138435488695,inf
0.10403910211692224,423748.0570565118,90.31050213839856,0.16499881982789988,0.8841027828608226,3.0716463459189614,3.697586538552912,49.514373295880915,inf
0.41159570633986087,3840.7661707875345,4.2610861363202845,0.4284408018357845,0.5847121015827705,0.14803159373994032,5.33844820212447,1.4945632963000512,1.9597587165728214
0.5335751526413018,1511.8315216517478,2.3527488901249325,0.1313278038977861,0.15301068542304053,0.31840283447795914,0.6704839906812083,1.2644041110498607,1.4714166762963234
0.08631176817412012,661.5950985701484,1.2088840276249684,0.884971314932696,0.7869,2.1710636986847978,4.103770691208157,1.8296234079932365,inf
0.9032837077308828,28733.88569587313,18.006765487553526,0.9842875740998859,0.5759003123311548,1.9240405314272229,4.22815536944615,17.234400559998832,0.297930824341889
0.20734109827633307,49335621.93668915,2218.4791856183215,0.7496466546181734,0.5722329517455239,1.5764987541370261,5.713077010566924,1688.9268289224563,3.542829768493162
0.8424369111111047,7939.933108361866,7.55695894776365,0.6136509211155485,0.7745765938320738,1.544604087643821,5.4938906060698365,12.777416233455833,0.4829992631825286
0.8968952762444712,131.45440585451237,0.4956816496245994,0.894170730433982,0.3195,0.8006122859025359,5.119826658150097,0.3395188573052629,0.31641994113407446
0.2018258827068642,24521.06357067753,13.89883326774689,0.5615164938658506,0.4433271175429739,1.9657994769870382,0.07263417374203082,13.160445028551793,3.63853244075119
0.5106147044791035,21.634785204396938,0.13798268336508435,0.6759167587434239,0.07690000000000001,1.4397736440968294,2.7261973893218427,0.132714100167347,1.5506503516968948
0.8469380265620919,531160227.4094897,12463.483176526108,0.6726849995933933,0.39472718484224045,0.5162262674690722,1.5594907946629564,13950.44799623371,0.47062974984264727
0.10188960457441143,1378476.975242129,198.14540171035478,0.6973220923260665,0.8974464998101493,3.0962375467705003,0.3001590373951392,225.6003501030063,inf
0.8672962818745069,976.8386692918256,1.8776930481524419,0.9683842979760983,0.5667,1.7976545485359667,3.984177714984865,0.8448227342032507,0.4088798070113855
0.6780556964248028,1.3426393531027363,0.022399930147538678,0.33214409722833593,0.041,2.373065725720706,2.3368815405794616,0.007677472538034959,0.994345456049305
0.7167827386425644,14773976.015739866,1116.6275302905874,0.8065523777185638,0.4186639764887446,1.6130436166506426,2.14554617640946,907.1117143671271,0.8724446605142608
0.854913246648995,261.9978414567004,0.7791922693277045,0.40993344034179546,0.2322,2.642657385574401,2.726550819065775,0.3997587998709768,0.4459122394205073
0.6590076302887157,6364.1812948939905,6.296745131092134,0.9123504552721565,0.24349643073227403,3.1120066445253416,4.493892668907223,7.103658422625199,1.0589781180607112
0.952725782375551,2.455581703115121,0.035236138196689644,0.7809008709085351,0.2139,2.729618475696208,5.021765899489429,0.023100925329081905,0.14347560279038074
0.9756720830231469,30761.68876109101,19.080219310389182,0.791193425710994,0.7548493493884806,2.6537107169983067,2.628046994180235,28.372299539892172,0.07508717247759833
0.47682531138819395,13571611.989828901,1003.5421641083067,0.3717980590285517,0.7323107140182269,0.6756890602442636,5.900005017552639,611.8985140408206,1.6807042720091587
